Author,Art,Sale date,Price,Size,Style,Estimate,Signed,dated,Collection,Material,Technique,Painted,Image,Genre,Square,Nazi,Length description
Andrew Wyeth,Ericksons,05.24.2007,10344000,106.7 x 96.5 cm,"Important American Paintings, Drawings and Sculpture",4000000.0,1,0,0,panel,other techniques,1973,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01838_0029_000().jpg,-,1.0297,0,352
Joan Miró,L′Air,11.03.2010,10330500,54.9 x 46 cm,Impressionist and Modern Evening Sale ,12000000.0,1,0,1,canvas,oil only,1938,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02352_0025_000(joan_miro_lair).jpg,-,0.2525,0,174
Paul Cézanne,Pommes et gâteaux,11.01.2005,10320000,-,Impressionist and Modern Art  Evening Sale                  ,3500000.0,1,0,1,canvas,oil only,1873,https://www.christies.com/img/LotImages/2005/NYR/2005_NYR_01570_0004_000().jpg,-,0,0,192
Zao Wou-Ki,16.5.66.,10.05.2013,10270165,195 x 130 cm,-,30000000.0,0,0,0,canvas,oil only,-,-,-,2.535,0,2202
Chen Yifei,Red flag 1,10.05.2013,10270165,300 x 159 cm,-,45000000.0,0,0,0,canvas,oil only,-,-,-,4.77,0,1096
Lucio Fontana,"Concetto spaziale, Attese",07.01.2014,10263348,-,-,65000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Cy Twombly,Untitled,05.14.2014,10245000,67.5 x 86.4 cm,Abstract Expressionism,400000.0,0,0,0,other,other techniques,-,https://uploads8.wikiart.org/images/cy-twombly/untitled.jpg!Large.jpg,abstract,0.5832,0,1425
Natalia Sergeevna Goncharova,Espagnole,02.02.2010,10239278,81 x 45cm,-,80000.0,0,0,0,canvas,oil only,-,-,-,0.0324,0,846
Philip Guston,Beggar′s Joys,11.11.2008,10162500,180.7 x 173.1 cm,-,-,0,0,0,canvas,oil only,-,-,-,3.1279,0,2244
Hendrick ter Brugghen,Bagpipe Player in Profile,01.30.2009,10162500,101 x 83 cm,-,4000000.0,0,0,0,canvas,oil only,-,-,-,0.8383,0,2446
Georges Braque,La Treille,05.04.2010,10162500,130 x 130 cm,Property from the Collection of Mrs. Sidney F. Brody,3000000.0,1,0,1,canvas,oil and others,1953,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02410_0002_000(georges_braque_la_treille).jpg,-,1.69,0,128
Pierre-Auguste Renoir,"Femme nue couchée, Gabrielle",05.04.2010,10162500,65.3 x 155.3 cm,Impressionist/ Modern Evening Sale,7000000.0,1,0,1,canvas,oil only,1903,-,-,1.0141,0,340
Roy Lichtenstein,Untitled composition,05.11.2010,10162500,213.4 x 305 cm,Post-War and Contemporary Art Evening Sale,4500000.0,1,0,0,canvas,oil and others,1978,-,-,6.5087,0,175
René Magritte,Les vacances de Hegel,11.01.2011,10162500,60 x 50 cm,Impressionist and Modern Evening Sale,9000000.0,1,0,1,canvas,oil only,1958,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02477_0058_000(rene_magritte_les_vacances_de_hegel).jpg,-,0.3,0,211
Henri de Toulouse-Lautrec,Au bal de l′opéra,11.06.2007,10121000,77.4 x 48.5 cm,Impressionist and Modern Art Evening Sale,6000000.0,1,0,0,"paper, panel",oil and others,1893,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01900_0035_000().jpg,-,0.3754,0,495
Henri Matisse,Espagnole,11.07.2007,10121000,50.5 x 34.5 cm,-,12000000.0,0,0,0,canvas,oil only,-,-,-,0.1742,0,1800
Fernand Léger,Les femmes à la toiletteREPEAT SALE,05.06.2008,10121000,92.3 x 73.3 cm,Impressionist And Modern Art  Evening Sale,9000000.0,1,0,0,toile,oil only,1920,https://www.christies.com/img/LotImages/2008/NYR/2008_NYR_01994_0037_000().jpg,-,0.6766,0,359
Alberto Giacometti,Femme de Venise VIII,05.07.2008,10121000,122 cm,-,8000000.0,0,0,0,bronze,other techniques,-,-,-,0,0,2509
Piero Manzoni,Achrome,05.14.2008,10121000,150 x 100 cm,Minimalism,2000000.0,0,0,0,other,other techniques,-,https://uploads6.wikiart.org/images/piero-manzoni/achrome-1958.jpg!Large.jpg,abstract,1.5,0,2521
Maurice de Vlaminck,La Seine à Chatou,02.04.2002,10115597,65.5 x 81.3 cm,-,350000.0,0,0,0,canvas,oil only,-,-,-,0.5325,0,1569
Mark Rothko,Untitled,05.11.2005,10096000,28.3 x 40.6 cm,-,200000.0,0,0,0,paper,other techniques,-,-,-,0.1149,0,1331
Francis Bacon,Study for a Pope I,11.08.2005,10096000,152 x 119 cm,POST-WAR AND CONTEMPORARY ART EVENING SALE,7000000.0,0,0,1,canvas,oil only,1961,https://www.christies.com/img/LotImages/2005/NYR/2005_NYR_01573_0042_000().jpg,,1.8088,0,116
John William Waterhouse,"St Cecilia ′In a clear walled city on the sea, Near gilded organ pipes",06.14.2000,9960407,123.2 x 200.7 cm,Important British Art,3050000.0,0,0,0,canvas,oil only,-,https://www.christies.com/img/LotImages/2000/CKS/2000_CKS_06303_0015_000().jpg,-,2.4726,0,419
Wassily Kandinsky,Studie für Herbstlandschaft mit Booten,06.19.2013,9955595,30.5 x 39cm,-,3000000.0,0,0,0,other,other techniques,-,-,-,0.0092,0,1408
Joan Miró,Femme,02.06.2013,9930742,20.3 cm,-,50000.0,0,0,0,bronze,other techniques,-,-,-,0,0,523
Pablo Picasso,Compotier et guitare,05.10.2000,9905750,-,-,60000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Jean-Michel Basquiat,Untitled,11.13.2007,9897000,25.4 x 15.2 cm,Neo-Expressionism,100000.0,0,0,0,other,other techniques,-,https://uploads0.wikiart.org/images/jean-michel-basquiat/untitled.jpg!Large.jpg,figurative,0.0386,0,1129
Peter Doig,Red boat,06.28.2011,9895335,199 x 186.4cm,Post-War and Contemporary Art Evening Auction,1708000.0,1,0,1,"canvas, metal",oil and others,2003,https://www.christies.com/img/LotImages/2011/CKS/2011_CKS_07977_0029_000(peter_doig_red_boat).jpg,-,3.7014,0,90
Clyfford Still,1948-H,11.13.2012,9882500,190.5 x 176.8 cm,-,15000000.0,0,0,0,canvas,oil only,-,-,-,3.368,0,1705
Pablo Picasso,Famille d′arlequin,05.08.2007,9840000,29.5 x 21.5 cm,-,6000000.0,0,0,0,panel,other techniques,-,-,-,0.0634,0,2784
Donald Judd,"Untitled, 1977",05.16.2007,9840000,-,-,15000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Andy Warhol,Four Campbell′s soup cans,11.08.2011,9826500,51 x 41 cm,Post-War Contemporary Evening Sale,7000000.0,1,0,1,canvas,other techniques,1962,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02480_0036_000(andy_warhol_four_campbells_soup_cans_d5496708).jpg,-,0.2091,0,172
,Abstract Painting,11.14.2007,9785000,51 x 40.5 cm,-,60000.0,0,0,0,other,other techniques,-,-,-,0.2066,0,927
Natalia Sergeevna Goncharova,Picking apples,06.18.2007,9780712,87.9 x 123.4 cm,Impressionist and Modern Art  (Evening Sale),1220000.0,1,0,1,canvas,oil only,1909,https://www.christies.com/img/LotImages/2007/CKS/2007_CKS_07404_0019_000().jpg,-,1.0847,0,71
Claude Monet,Le pont de bois,06.19.2013,9780125,54 x 73cm,-,4000000.0,0,0,0,canvas,oil only,-,-,-,0.0378,0,3246
Edgar Degas,Danseuse rajustant sa sandale,02.05.2008,9754978,54.6 x 37cm,-,2000000.0,0,0,0,paper,other techniques,-,-,-,0.0164,0,2287
Pablo Picasso,Nu couché,11.05.2003,9752000,50.8 x 65.1 cm,-,400000.0,0,0,0,paper,other techniques,-,-,-,0.3307,0,1565
Paul Signac,"La Corne d′Or, les minarets",06.20.2012,9732242,73 x 92.5 cm,Impressionist/Modern Art Evening Sale,4880000.0,0,0,1,canvas,oil only,1907,https://www.christies.com/img/LotImages/2012/CKS/2012_CKS_05465_0009_000(paul_signac_la_corne_dor_les_minarets).jpg,-,0.6753,0,195
Pablo Picasso,Homme assis,06.19.2012,9726661,162 x 130cm,-,6000000.0,0,0,0,canvas,oil only,-,-,-,0.2106,0,2140
Pablo Picasso,Homme assis sur une chaise,02.02.2010,9703829,162.6 x 130.1 cm,Impressionist/Modern Evening Sale,4270000.0,1,0,0,canvas,oil only,1956,https://www.christies.com/img/LotImages/2010/CKS/2010_CKS_07831_0043_000().jpg,-,2.1154,0,197
Sir Stanley Spencer,Christ Preaching at Cookham Regatta: Conversation Between Punts,11.20.2013,9693998,106.7 x 91.5 cm,Modern British and Irish Art ,3660000.0,0,0,1,canvas,oil only,1955,https://www.christies.com/img/LotImages/2013/CKS/2013_CKS_01157_0005_000(sir_stanley_spencer_ra_christ_preaching_at_cookham_regatta_conversatio).jpg,-,0.9763,0,42
Pablo Picasso,Buste d′homme,05.07.2013,9685000,116 x 89 cm,-,8000000.0,0,0,0,canvas,oil only,-,-,-,1.0324,0,2112
Paul Gauguin,Petit Breton à l′oie,11.06.2013,9685000,92 x 73 cm,-,6000000.0,0,0,0,canvas,oil only,-,-,-,0.6716,0,3322
Claude Monet,La jetee du havre,05.12.1993,9682500,147 x 226 cm,"Impressionist & Modern Paintings, Drawings & Sculpture Pt I",-,1,0,1,canvas,oil only,1868,-,-,3.3222,0,449
Alexander Calder,Rouge triomphant,06.27.2012,9676430,584.2 x 457.2cm,Post-War and Contemporary Art Evening Auction,7320000.0,1,0,1,metal,other techniques,1959,https://www.christies.com/img/LotImages/2012/CKS/2012_CKS_05488_0061_000(alexander_calder_rouge_triomphant).jpg,-,26.6979,0,176
Edward Hicks,The Peaceable Kingdom with the Leopard of Serenity,05.22.2008,9673000,66 x 75 cm,-,6000000.0,0,0,0,other,other techniques,-,-,-,0.495,0,2311
Zeng Fanzhi,Mask Series 1996 No. 6,05.24.2008,9662114,200 x 360 cm,Asian Contemporary Art (Evening Sale),1950000.0,1,0,1,canvas,oil only,1996,https://www.christies.com/img/LotImages/2008/HGK/2008_HGK_02602_0156_000().jpg,-,7.2,0,89
Robert Ryman,Untitled,05.10.2006,9648000,21 x 22.3 cm,Minimalism,-,0,0,0,linen,oil only,-,https://uploads5.wikiart.org/images/robert-ryman/untitled-1976.jpg,abstract,0.0468,0,185
Willem de Kooning,Woman,11.15.2006,9648000,46.7 x 41.9 cm,-,120000.0,0,0,0,paper,other techniques,-,-,-,0.1957,0,524
Brice Marden,Cold mountain I,05.12.2010,9602500,274.3 x 365.8 cm,-,10000000.0,0,0,0,other,other techniques,-,-,-,10.0339,0,2458
Mark Rothko,No. 18,11.10.2010,9602500,201.9 x 207 cm,Post-War and Contemporary Evening Sale,9000000.0,1,0,1,canvas,oil only,1958,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02355_0037_000(mark_rothko_no_18).jpg,abstract,4.1793,0,90
Pablo Picasso,Couple à la guitare,05.03.2011,9602500,162 x 130 cm,-,10000000.0,0,0,0,canvas,oil only,-,-,-,2.106,0,1476
Edward Hopper,October on Cape Cod,11.28.2012,9602500,66.7 x 107.3 cm,American Art,8000000.0,1,0,1,canvas,oil only,1946,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02602_0015_000(edward_hopper_october_on_cape_cod).jpg,-,0.7157,0,415
Zhang Daqian,Children playing under a pomegranate tree,05.31.2011,9583530,137 x 66 cm,-,15000000.0,0,0,0,paper,other techniques,-,-,-,0.9042,0,1960
Giovanni Segantini,Primavera sulle alpi,11.09.1999,9572500,116 x 227 cm,20th Century Art (Evening Sale)                             ,4000000.0,1,0,1,canvas,oil only,1897,https://www.christies.com/img/LotImages/1999/NYR/1999_NYR_09224_0512_000().jpg,-,2.6332,0,138
Henri Matisse,Le Géranium,05.07.2008,9561000,45.5 x 55 cm,-,2500000.0,0,0,0,canvas,oil only,-,-,-,0.2502,0,1548
Andy Warhol,Detail of the Last Supper,05.14.2008,9561000,50.8 x 40.6 cm,-,150000.0,0,0,0,canvas,other techniques,-,-,-,0.2062,0,377
Jean-Michel Basquiat,Untitled,05.14.2008,9561000,25.4 x 15.2 cm,Neo-Expressionism,100000.0,0,0,0,other,other techniques,-,https://uploads0.wikiart.org/images/jean-michel-basquiat/untitled.jpg!Large.jpg,figurative,0.0386,0,1129
Zhang Daqian,Daoist goddess playing panpipe,05.27.2013,9536352,-,-,15000000.0,0,0,0,paper,other techniques,-,-,-,0,0,2514
Roy Lichtenstein,Yellow and White Brushstrokes,11.15.2006,9536000,122 x 165.2 cm,Post War and Contemporary Art Evening Sale,7000000.0,1,0,1,canvas,oil and others,1965,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01725_0025_000().jpg,-,2.0154,0,153
Ernst Ludwig Kirchner,Gruppe Badender am Strand,02.05.2008,9534192,120 x 90cm,-,2700000.0,0,0,0,canvas,oil only,-,-,-,0.108,0,2103
Auguste Rodin,"Le Penseur, taille de la porte dit moyen modèle",02.03.2015,9498200,71.5cm,-,3000000.0,0,0,0,bronze,other techniques,-,-,-,0,0,2374
Wassily Kandinsky,Moskau II,02.03.2015,9498200,52.8 x 38cm,-,6000000.0,0,0,0,other,other techniques,-,-,-,0.0158,0,1789
Wassily Kandinsky,Herbstlandschaft,06.23.2014,9479320,71.5 x 99.3cm,-,3000000.0,0,0,0,canvas,oil only,-,-,-,0.7078,0,2769
Chaïm Soutine,Le pâtissier de Cagnes,02.07.2005,9460270,65 x 50 cm,IMPRESSIONIST AND MODERN ART  EVENING SALE,3660000.0,0,0,1,canvas,oil only,1922,https://www.christies.com/img/LotImages/2005/CKS/2005_CKS_07021_0030_000().jpg,-,0.325,0,423
