Author,Art,Sale date,Price,Size,Style,Estimate,Signed,dated,Collection,Material,Technique,Painted,Image,Genre,Square,Nazi,Length description
Pierre-Auguste Renoir,L′ombrelle,02.06.2013,15216022,61.9 x 50.8 cm,Impressionist/Modern Evening Sale,4880000.0,1,0,1,canvas,oil only,1878,https://www.christies.com/img/LotImages/2013/CKS/2013_CKS_01102_0013_000(pierre-auguste_renoir_lombrelle).jpg,-,0.3145,0,390
Claude Monet,Effet de printemps à Giverny,05.05.2010,15202500,60 x 100 cm,-,10000000.0,0,0,0,canvas,oil only,-,-,-,0.6,0,2575
Andy Warhol,Green Disaster,11.13.2012,15202500,121.9 x 106 cm,-,-,0,0,0,other,other techniques,-,-,-,1.2921,0,2071
Domenico Zampieri,Saint John the Evangelist,12.08.2009,15195602,259 x 199.4 cm,"Old Master & 19th Century Paintings, Drawings & Watercolours Evening Sale",8540000.0,0,0,1,canvas,oil only,-,https://www.christies.com/img/LotImages/2009/CKS/2009_CKS_07782_0028_000().jpg,-,5.1645,0,1796
Takashi Murakami,My Lonesome Cowboy,05.14.2008,15161000,116.8 x 91.4 cm,Neo-Pop Art,3000000.0,0,0,0,other,oil and others,-,https://uploads1.wikiart.org/images/takashi-murakami/my-lonesome-cowboy-1998.jpg,"figurative, nude painting (nu)",1.0676,0,1062
,Abstraktes Bild,05.14.2008,15161000,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
Pablo Picasso,Tête d′arlequin,05.08.2007,15160000,35 x 26.5 cm,-,14000000.0,0,0,0,panel,oil only,-,-,-,0.0927,0,1644
Amedeo Modigliani,Portrait de Jeanne Hébuterne,11.16.1998,15127500,46 x 29.1 cm,-,8000000.0,0,0,0,canvas,oil only,-,-,-,0.1339,0,1821
Andy Warhol,Mustard Race Riot,11.10.2004,15127500,289.3 x 208.3 cm,Post-War and Contemporary Art (Evening Sale)                ,10000000.0,0,0,1,canvas,other techniques,1963,https://www.christies.com/img/LotImages/2004/NYR/2004_NYR_01431_0012_000().jpg,-,6.0261,0,80
Claude Monet,La Plage à Trouville,06.25.2008,15061045,-,-,1000000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Henri Matisse,Boléro violet,02.05.2014,14929159,55 x 33cm,Expressionism,6500000.0,0,0,0,canvas,oil only,-,https://uploads2.wikiart.org/00133/images/henri-matisse/bol-ro-violet-1937.jpg!Large.jpg,portrait,0.0165,0,1752
Constantin Brancusi,Le premier cri,11.01.2011,14866500,26 cm,Impressionist and Modern Evening Sale,8000000.0,1,0,1,bronze,other techniques,1917,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02477_0068_000(constantin_brancusi_le_premier_cri).jpg,-,0,0,217
Joan Miró,Tête humaine,05.02.2012,14866500,81.3 x 65.4 cm,-,10000000.0,0,0,0,"canvas, wood, paper",oil and others,-,-,-,0.5317,0,2103
Willem de Kooning,September Morn,11.12.2013,14725000,160 x 125.7 cm,Post-War and Contemporary Evening Sale,10000000.0,1,0,1,canvas,oil only,1958,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0041_000(willem_de_kooning_september_morn).jpg,-,2.0112,0,166
Zao Wou-Ki,Abstraction,12.01.2013,14717804,130 x 162 cm,-,35000000.0,0,0,0,canvas,oil only,-,-,-,2.106,0,2019
Henri Matisse,Odalisque grise et jaune,05.08.2007,14712000,81 x 117.5 cm,-,15000000.0,0,0,0,canvas,oil only,-,-,-,0.9517,0,1478
Pierre-Auguste Renoir,La Loge or l′Avant-Scène,02.05.2008,14612261,27 x 21cm,-,2500000.0,0,0,0,canvas,oil only,-,-,-,0.0054,0,2659
Pablo Picasso,Tête de femme,02.05.2008,14612261,12 cm,-,150000.0,0,0,0,bronze,other techniques,-,-,-,0,0,1611
Zeng Fanzhi,Hospital Triptych No. 3,11.23.2013,14605770,150 x 115 cm,Asian 20th Century & Contemporary Art (Evening Sale),-,0,0,1,canvas,oil only,1992,https://www.christies.com/img/LotImages/2013/HGK/2013_HGK_03255_0050_000().jpg,-,1.725,0,1
Jean-Michel Basquiat,Museum Security,02.13.2013,14603459,213.4 x 213.4 cm,Post-War and Contemporary Art (Evening Auction),8540000.0,0,0,0,"canvas, paper",oil only,1983,https://www.christies.com/img/LotImages/2013/CKS/2013_CKS_01106_0030_000(jean-michel_basquiat_museum_security).jpg,-,4.554,0,122
Alberto Giacometti,Portrait de Caroline,05.07.2008,14601000,130.2 x 88.9 cm,-,10000000.0,0,0,0,canvas,oil only,-,-,-,1.1575,0,2140
,Abstraktes Bild,05.13.2008,14601000,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
,Overdrive,05.14.2008,14601000,213.4 x 152.4 cm,-,10000000.0,0,0,0,canvas,oil and others,-,-,-,3.2522,0,2125
Pablo Picasso,Les amants,05.08.2007,14600000,98.1 x 131.2 cm,-,10000000.0,0,0,0,canvas,oil only,-,-,-,1.2871,0,1407
Claude Monet,"Le Parlement, soleil couchant",05.10.2001,14580750,-,-,9000000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Claude Monet,La Seine à Argenteuil,06.23.2014,14529965,59.8 x 79.8cm,-,7000000.0,0,0,0,canvas,oil only,-,-,-,0.4724,0,2966
Pablo Picasso,Nu couché,11.10.1997,14522500,50.8 x 65.1 cm,-,400000.0,0,0,0,paper,other techniques,-,-,-,0.3307,0,1565
Piet Mondrian,"Composition with red, yellow and blue",06.19.2013,14517826,37.8 x 35cm,-,4500000.0,0,0,0,canvas,oil only,-,-,-,0.0113,0,2857
Valentin Aleksandrovich Serov,Portrait of Maria Zetlin,11.24.2014,14513192,107 x 73.4 cm,Important Russian Art,1830000.0,1,0,1,board,oil only,1910,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01571_0015_000(valentin_serov_portrait_of_maria_zetlin).jpg,-,0.7854,0,110
Peter Doig,Country-rock,06.30.2014,14460966,194.9 x 270cm,-,-,0,0,0,canvas,oil only,-,-,-,0.5262,0,1376
,Zwei Liebespaare,02.06.2008,14382715,115 x 160cm,Post-War and Contemporary Art  Evening Sale,-,1,0,1,canvas,oil only,1966,https://www.christies.com/img/LotImages/2008/CKS/2008_CKS_07565_0017_000().jpg,-,0.184,0,106
Fernand Léger,Les Usines,05.08.2007,14320000,69 x 53.5 cm,-,5000000.0,0,0,0,canvas,oil only,-,-,-,0.3691,1,1653
Qi Baishi,Flowers and birds,05.22.2011,14169105,132.5 x 33 cm,-,600000.0,0,0,0,paper,other techniques,-,-,-,0.4373,0,0
Christopher Wool,Untitled,11.12.2014,14165000,94 x 61 cm,-,40000.0,0,0,0,paper,other techniques,-,-,-,0.5734,0,167
Giorgio de Chirico,Il Ritornante,02.23.2009,14162291,94 x 77.9 cm,Collection Yves Saint Laurent et Pierre Bergé,7560000.000000001,1,0,1,toile,oil only,-,https://www.christies.com/img/LotImages/2009/PAR/2009_PAR_01209_0057_000().jpg,-,0.7323,0,334
Claude Monet,Nymphéas avec reflets de hautes herbes,02.05.2013,14150865,130 x 200cm,-,12000000.0,0,0,0,canvas,oil only,-,-,-,0.26,0,2425
Piero Manzoni,Achrome,05.15.2013,14123750,150 x 100 cm,-,2000000.0,0,0,0,other,other techniques,-,-,-,1.5,0,2521
André Derain,Barques au port de collioure,11.04.2009,14082500,60 x 73 cm,-,6000000.0,0,0,0,canvas,oil only,-,-,-,0.438,0,1408
Roy Lichtenstein,Ice cream soda,11.09.2010,14082500,164.5 x 81.7 cm,-,12000000.0,0,0,0,canvas,oil only,-,-,-,1.344,0,2638
Francis Bacon,Figure in movement,11.09.2010,14082500,198.7 x 147.8 cm,Expressionism,7000000.0,0,0,0,canvas,oil only,-,https://uploads6.wikiart.org/images/francis-bacon/figure-in-movement(1).jpg!Large.jpg,figurative,2.9368,0,2024
,Abstraktes Bild,11.09.2011,14082500,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
Willem de Kooning,Untitled I,05.08.2012,14082500,105 x 76.2 cm,Abstract Expressionism,650000.0,0,0,0,"canvas, paper",oil only,-,https://uploads2.wikiart.org/images/willem-de-kooning/untitled-1949.jpg!Large.jpg,abstract,0.8001,0,839
Paul Signac,Cassis Cap Canaille,11.06.2007,14041000,65.7 x 82.2 cm,Impressionist and Modern Art Evening Sale,8000000.0,0,0,0,canvas,oil only,1889,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01900_0019_000().jpg,-,0.5401,0,185
Clyfford Still,1946,05.13.2008,14041000,153.7 x 111.1 cm,Post War And Contemporary Art Evening Sale,8000000.0,1,0,0,canvas,oil only,1946,https://www.christies.com/img/LotImages/2008/NYR/2008_NYR_01997_0028_000().jpg,-,1.7076,0,62
El Greco,Saint Dominic in prayer,07.03.2013,13907516,75 x 58 cm,-,3000000.0,0,0,0,canvas,oil only,-,-,-,0.435,0,2220
Wassily Kandinsky,Der bär,02.08.2012,13883477,29.5 x 49.2cm,-,500000.0,0,0,0,"paper, board",other techniques,-,-,-,0.1446,0,1989
Alberto Giacometti,Homme traversant une place par un matin de soleil,02.05.2014,13833261,47cm,-,3000000.0,0,0,0,bronze,other techniques,-,-,-,0,0,2213
Kees van Dongen,Jeune Arabe,11.04.2009,13802500,102 x 65.5 cm,-,7000000.0,0,0,0,canvas,oil only,-,-,-,0.6681,0,2062
Amedeo Modigliani,Jeanne Hébuterne au collier,05.05.2010,13802500,55.8 x 38.7 cm,-,8000000.0,0,0,0,canvas,oil only,-,-,-,0.2159,1,2222
Claude Monet,Le Givre à Giverny,02.05.2013,13798715,54 x 71cm,-,4000000.0,0,0,0,canvas,oil only,-,-,-,0.0378,0,2154
Marc Chagall,Le grand cirque,05.08.2007,13760000,159.5 x 308.5 cm,-,8000000.0,0,0,0,canvas,oil and others,-,-,-,4.9206,0,1630
Joan Miró,Peinture,11.07.2012,13746500,74.5 x 54.5cm,-,2500000.0,0,0,0,board,oil only,-,-,-,0.4023,0,1776
Pablo Picasso,Nu jaune,11.02.2005,13736000,59.8 x 39.5 cm,-,3000000.0,0,0,0,paper,other techniques,-,-,-,0.2362,0,1553
Sir Anthony van Dyck,Self portrait,12.09.2009,13719733,59.7 x 47.3 cm,-,2000000.0,0,0,0,other,other techniques,-,-,-,0.2824,0,2367
Pablo Picasso,Le peintre et son modèle,06.19.2006,13698880,65 x 100 cm,-,1400000.0,0,0,0,canvas,oil only,-,-,-,0.65,0,1150
