Author,Art,Sale date,Price,Size,Style,Estimate,Provenance,Sign,Collection,Technique and performance material,Painted,Image,Urls,Found
Fernand Léger,Les maisons dans les arbres,02.06.2007,"12,346,792",-,-,-,-,-,-,-,-,-,-,0
Michelangelo,The Risen Christ,07.04.2000,"12,320,348",-,-,-,-,-,-,-,-,-,-,0
Pierre-Auguste Renoir,Femmes dans un jardinREPEAT SALE,11.07.2007,"12,249,000",-,-,-,-,-,-,-,-,-,-,0
Edgar Degas,"Après le bain, femme s�essuyant",02.05.2013,"12,214,038",-,-,-,-,-,-,-,-,-,-,0
Mark Rothko,UntitledREPEAT SALE,05.14.2014,"12,205,000",-,-,-,-,-,-,-,-,-,-,0
Pablo Picasso,Femme au béret orange et au col de fourrure,11.05.2013,"12,149,000",61.1 x 46 cm,Impressionist & Modern Evening Sale,"USD 8,000,000 - USD 12,000,000","Estate of the artist.
Jacqueline Picasso, Mougins (by descent from the above).
Galerie Beyeler, Basel.
Acquired from the above by the family of the present owners, 22 December 1992.
","
dated '4 D 37' (upper right) 
",-,oil on canvas ,1937,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02788_0005_000(pablo_picasso_femme_au_beret_orange_et_au_col_de_fourrure).jpg,https://www.christies.com/lotfinder/paintings/pablo-picasso-femme-au-beret-orange-et-5737628-details.aspx?from=searchresults&intObjectID=5737628,1
Zhang Xiaogang,Bloodline: Big family no. 3REPEAT SALE,04.05.2014,"12,144,809",-,-,-,-,-,-,-,-,-,-,0
Claude Monet,Champ de blé,11.08.2012,"12,122,500",-,-,-,-,-,-,-,-,-,-,0
Claude Monet,"La Cathédrale de Rouen, effet d′après-midi",06.26.1995,"12,107,656",106 x 73cm,"Impressionist & Modern Paintings,Watercolours & Sculpture PI",,"Bernheim-Jeune, Paris
Wilhelm Hansen, Ordrupgaard, bought from the above circa 1914
Possibly Galerie Barbazanges, Paris
Prince Kojiro Matsukata, Tokyo, circa 1924
M. Irumano, 15th Bank of Japan, Tokyo, 1928, from whom acquired circa 1947, and thence by descent to the previous owner 
","
signed and dated lower left Claude Monet 94, inscribed (probably by the artist) on an old label attached to the back of the stretcher Le Portail (plein soleil), oil on canvas
",-,"signed and dated lower left Claude Monet 94, inscribed (probably by the artist) on an old label attached to the back of the stretcher Le Portail (plein soleil), oil on canvas",1892,-,https://www.christies.com/lotfinder/lot/claude-monet-265442-details.aspx?from=searchresults&intObjectID=265442,1
Pablo Picasso,Garçon à la collerette,11.07.1995,"12,102,500",76.6 x 65.5 cm,"Impressionist & Modern Paintings, Drawings & Sculpt., Part I",,"Haldsdurk Collection, Berlin
Oscar Huldschinsky, Berlin
Mrs. A. Furstenberg, Amsterdam
Wildenstein & Co. Inc., New York
André Meyer, New York; sale, Sotheby Parke Bernet Inc., New York, Oct. 22, 1980, lot 32 (illustrated in color)
","
signed lower left 'Picasso'--gouache on board
","Haldsdurk Collection, Berlin
",signed lower left 'Picasso'--gouache on board,1905,-,https://www.christies.com/lotfinder/lot/pablo-picasso-garcon-a-la-collerette-345479-details.aspx?from=searchresults&intObjectID=345479,1
Claude Monet,Le Grand CanalREPEAT SALE,05.13.1998,"12,102,500",-,-,-,-,-,-,-,-,-,-,0
Claude Monet,Le bassin aux nymphéas,11.11.1992,"12,100,000",-,-,-,-,-,-,-,-,-,-,0
Mark Rothko,Untitled,11.14.2007,"12,081,000",-,-,-,-,-,-,-,-,-,-,0
Willem de Kooning,Untitled IV,05.13.2008,"12,081,000",-,-,-,-,-,-,-,-,-,-,0
Nikolai Konstantinovich Roerich,Madonna Laboris,06.05.2013,"12,065,406",-,-,-,-,-,-,-,-,-,-,0
Attributed To Aqa Mirak,Faridun in the guise of a dragon tests his sons,04.06.2011,"12,039,635",-,-,-,-,-,-,-,-,-,-,0
Jean-Michel Basquiat,Untitled,11.12.2013,"12,037,000",-,-,-,-,-,-,-,-,-,-,0
Pablo Picasso,Mère et enfant,05.11.1995,"11,992,500",-,-,-,-,-,-,-,-,-,-,0
Claude Monet,Meule,05.11.1999,"11,992,500",-,-,-,-,-,-,-,-,-,-,0
Peter Doig,The Architect′s Home in the RavineREPEAT SALE,02.13.2013,"11,975,939",-,-,-,-,-,-,-,-,-,-,0
,Wolke,02.12.2013,"11,965,128",-,-,-,-,-,-,-,-,-,-,0
