Author,Art,Sale date,Price,Genre,Style,Image,Dimensions,Media,Location,Found,Url
Auguste Rodin,"Le Penseur, Taille de la Porte dit Moyen modèle",05.07.2013,"15,285,000",,,,,,,0,"https://www.wikiart.org/en/Search/Auguste Rodin Le Penseur, Taille de la Porte dit Moyen modèle"
Pierre-Auguste Renoir,L′ombrelle,02.06.2013,"15,216,022",,,,,,,0,https://www.wikiart.org/en/Search/Pierre-Auguste Renoir L′ombrelle
Claude Monet,Effet de printemps à Giverny,05.05.2010,"15,202,500",,,,,,,0,https://www.wikiart.org/en/Search/Claude Monet Effet de printemps à Giverny
Cy Twombly,Unititled,05.11.2011,"15,202,500",,,,,,,0,https://www.wikiart.org/en/Search/Cy Twombly Unititled
Andy Warhol,Green Disaster,11.13.2012,"15,202,500",,,,,,,0,https://www.wikiart.org/en/Search/Andy Warhol Green Disaster
Domenico Zampieri,Saint John the Evangelist,12.08.2009,"15,195,602",,,,,,,0,https://www.wikiart.org/en/Search/Domenico Zampieri Saint John the Evangelist
Takashi Murakami,My Lonesome Cowboy,05.14.2008,"15,161,000","figurative, nude painting (nu)",Neo-Pop Art,https://uploads1.wikiart.org/images/takashi-murakami/my-lonesome-cowboy-1998.jpg,,,,1,https://www.wikiart.org/en/Search/Takashi Murakami My Lonesome Cowboy
,Abstraktes Bild,05.14.2008,"15,161,000",,,,,,,0,https://www.wikiart.org/en/Search/ Abstraktes Bild
Pablo Picasso,Tête d′arlequin,05.08.2007,"15,160,000",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Tête d′arlequin
Amedeo Modigliani,Portrait de Jeanne Hébuterne,11.16.1998,"15,127,500",,,,,,,0,https://www.wikiart.org/en/Search/Amedeo Modigliani Portrait de Jeanne Hébuterne
Andy Warhol,Mustard Race Riot,11.10.2004,"15,127,500",,,,,,,0,https://www.wikiart.org/en/Search/Andy Warhol Mustard Race Riot
Henri Matisse,Nu au coussin bleu,05.04.2010,"15,090,500",,,,,,,0,https://www.wikiart.org/en/Search/Henri Matisse Nu au coussin bleu
Claude Monet,La Plage à Trouville,06.25.2008,"15,061,045",,,,,,,0,https://www.wikiart.org/en/Search/Claude Monet La Plage à Trouville
Francis Bacon,Version No. 2 of Lying Figure with Hypodermic Syringe,11.14.2006,"15,024,000",figurative,Expressionism,https://uploads0.wikiart.org/images/francis-bacon/version-no-2-of-lying-figure-with-hypodermic-syringe-1968(1).jpg!Large.jpg,198 x 147 cm,"oil, canvas",Private Collection,1,https://www.wikiart.org/en/Search/Francis Bacon Version No. 2 of Lying Figure with Hypodermic Syringe
Robert Ryman,Untitled,11.11.2014,"15,005,000",,,,,,,0,https://www.wikiart.org/en/Search/Robert Ryman Untitled
Henri Matisse,Boléro violet,02.05.2014,"14,929,159",portrait,Expressionism,https://uploads2.wikiart.org/00133/images/henri-matisse/bol-ro-violet-1937.jpg!Large.jpg,,,,1,https://www.wikiart.org/en/Search/Henri Matisse Boléro violet
,"Abstraktes Bild, 710",11.12.2008,"14,866,500",,,,,,,0,"https://www.wikiart.org/en/Search/ Abstraktes Bild, 710"
Constantin Brancusi,Le premier cri,11.01.2011,"14,866,500",,,,,,,0,https://www.wikiart.org/en/Search/Constantin Brancusi Le premier cri
Joan Miró,Tête humaine,05.02.2012,"14,866,500",,,,,,,0,https://www.wikiart.org/en/Search/Joan Miró Tête humaine
Henri Matisse,La pose hindoue,05.08.1995,"14,850,500",,,,,,,0,https://www.wikiart.org/en/Search/Henri Matisse La pose hindoue
Edouard Manet,La promenande,11.15.1989,"14,850,000",,,,,,,0,https://www.wikiart.org/en/Search/Edouard Manet La promenande
Alberto Giacometti,Trois hommes qui marchent I,02.04.2014,"14,811,615",,,,,,,0,https://www.wikiart.org/en/Search/Alberto Giacometti Trois hommes qui marchent I
Li Keran,The long march,12.03.2010,"14,793,245",,,,,,,0,https://www.wikiart.org/en/Search/Li Keran The long march
Sir Joshua Reynolds,"Portrait of Omai standing in a landscape, wearing robes and a headdress",11.29.2001,"14,749,038",,,,,,,0,"https://www.wikiart.org/en/Search/Sir Joshua Reynolds Portrait of Omai standing in a landscape, wearing robes and a headdress"
Gustav Klimt,Litzlbergerkeller am Attersee,05.13.1997,"14,742,500",,,,,,,0,https://www.wikiart.org/en/Search/Gustav Klimt Litzlbergerkeller am Attersee
Fernand Léger,La tasse de thé,02.23.2009,"14,736,940",,,,,,,0,https://www.wikiart.org/en/Search/Fernand Léger La tasse de thé
Willem de Kooning,September Morn,11.12.2013,"14,725,000",,,,,,,0,https://www.wikiart.org/en/Search/Willem de Kooning September Morn
Willem de Kooning,Untitled III,11.12.2014,"14,725,000",abstract,Abstract Expressionism,https://uploads1.wikiart.org/images/willem-de-kooning/untitled-iii.jpg!Large.jpg,,,,1,https://www.wikiart.org/en/Search/Willem de Kooning Untitled III
Zao Wou-Ki,Abstraction,12.01.2013,"14,717,804",,,,,,,0,https://www.wikiart.org/en/Search/Zao Wou-Ki Abstraction
Henri Matisse,Odalisque grise et jaune,05.08.2007,"14,712,000",,,,,,,0,https://www.wikiart.org/en/Search/Henri Matisse Odalisque grise et jaune
Pablo Picasso,Mousquetaire à la pipe,05.06.2009,"14,642,500",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Mousquetaire à la pipe
,Karmin,02.11.2015,"14,630,369",,,,,,,0,https://www.wikiart.org/en/Search/ Karmin
Pierre-Auguste Renoir,La Loge or l′Avant-Scène,02.05.2008,"14,612,261",,,,,,,0,https://www.wikiart.org/en/Search/Pierre-Auguste Renoir La Loge or l′Avant-Scène
Pablo Picasso,Tête de femme,02.05.2008,"14,612,261",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Tête de femme
Zeng Fanzhi,Hospital Triptych No. 3,11.23.2013,"14,605,770",,,,,,,0,https://www.wikiart.org/en/Search/Zeng Fanzhi Hospital Triptych No. 3
Jean-Michel Basquiat,Museum Security,02.13.2013,"14,603,459",,,,,,,0,https://www.wikiart.org/en/Search/Jean-Michel Basquiat Museum Security
Camille Pissarro,L′Hiver,11.06.2007,"14,601,000",,,,,,,0,https://www.wikiart.org/en/Search/Camille Pissarro L′Hiver
Alberto Giacometti,La Place II,05.06.2008,"14,601,000",,,,,,,0,https://www.wikiart.org/en/Search/Alberto Giacometti La Place II
Alberto Giacometti,Portrait de Caroline,05.07.2008,"14,601,000",,,,,,,0,https://www.wikiart.org/en/Search/Alberto Giacometti Portrait de Caroline
,Abstraktes Bild,05.13.2008,"14,601,000",,,,,,,0,https://www.wikiart.org/en/Search/ Abstraktes Bild
,Overdrive,05.14.2008,"14,601,000",,,,,,,0,https://www.wikiart.org/en/Search/ Overdrive
Fernand Léger,Contrastes de formes,11.27.1989,"14,600,250",,,,,,,0,https://www.wikiart.org/en/Search/Fernand Léger Contrastes de formes
Pablo Picasso,Les amants,05.08.2007,"14,600,000",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Les amants
Claude Monet,"Le Parlement, soleil couchant",05.10.2001,"14,580,750",,,,,,,0,"https://www.wikiart.org/en/Search/Claude Monet Le Parlement, soleil couchant"
Claude Monet,La Seine à Argenteuil,06.23.2014,"14,529,965",,,,,,,0,https://www.wikiart.org/en/Search/Claude Monet La Seine à Argenteuil
Henri de Toulouse-Lautrec,Danseuse assise aux bas roses,05.12.1997,"14,522,500",,,,,,,0,https://www.wikiart.org/en/Search/Henri de Toulouse-Lautrec Danseuse assise aux bas roses
Pablo Picasso,Nu couché,11.10.1997,"14,522,500",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Nu couché
Henri Matisse,Harmonie jaune,11.11.1992,"14,520,000",,,,,,,0,https://www.wikiart.org/en/Search/Henri Matisse Harmonie jaune
Piet Mondrian,"Composition with red, yellow and blue",06.19.2013,"14,517,826",,,,,,,0,"https://www.wikiart.org/en/Search/Piet Mondrian Composition with red, yellow and blue"
Valentin Aleksandrovich Serov,Portrait of Maria Zetlin,11.24.2014,"14,513,192",,,,,,,0,https://www.wikiart.org/en/Search/Valentin Aleksandrovich Serov Portrait of Maria Zetlin
Peter Doig,Country-rock,06.30.2014,"14,460,966",,,,,,,0,https://www.wikiart.org/en/Search/Peter Doig Country-rock
Fu Baoshi,Composition of Dufu′s poem,06.03.2012,"14,440,886",,,,,,,0,https://www.wikiart.org/en/Search/Fu Baoshi Composition of Dufu′s poem
,Zwei Liebespaare,02.06.2008,"14,382,715",,,,,,,0,https://www.wikiart.org/en/Search/ Zwei Liebespaare
Unkei,A wood sculpture of Dainichi Nyorai,03.18.2008,"14,377,000",,,,,,,0,https://www.wikiart.org/en/Search/Unkei A wood sculpture of Dainichi Nyorai
Fernand Léger,Les Usines,05.08.2007,"14,320,000",,,,,,,0,https://www.wikiart.org/en/Search/Fernand Léger Les Usines
Gustave Caillebotte,"L′homme au balcon, boulevard Haussmann",05.08.2000,"14,306,000",,,,,,,0,"https://www.wikiart.org/en/Search/Gustave Caillebotte L′homme au balcon, boulevard Haussmann"
Alberto Giacometti,Grande femme debout I,11.08.2000,"14,306,000",,,,,,,0,https://www.wikiart.org/en/Search/Alberto Giacometti Grande femme debout I
Mark Rothko,Yellow over purple,05.17.2000,"14,305,750",,,,,,,0,https://www.wikiart.org/en/Search/Mark Rothko Yellow over purple
Claude Monet,"Meules, derniers rayons de soleil",06.26.2001,"14,304,790",,,,,,,0,"https://www.wikiart.org/en/Search/Claude Monet Meules, derniers rayons de soleil"
Henri Matisse,La Mulatresse Fatma,05.11.1993,"14,302,500",,,,,,,0,https://www.wikiart.org/en/Search/Henri Matisse La Mulatresse Fatma
Claude Monet,"Le Parlement, coucher de soleil",05.10.1989,"14,300,000",,,,,,,0,"https://www.wikiart.org/en/Search/Claude Monet Le Parlement, coucher de soleil"
Qi Baishi,Flowers and birds,05.22.2011,"14,169,105",,,,,,,0,https://www.wikiart.org/en/Search/Qi Baishi Flowers and birds
Donald Judd,Untitled,11.12.2013,"14,165,000",,,,,,,0,https://www.wikiart.org/en/Search/Donald Judd Untitled
Christopher Wool,Untitled,11.12.2014,"14,165,000",,,,,,,0,https://www.wikiart.org/en/Search/Christopher Wool Untitled
Giorgio de Chirico,Il Ritornante,02.23.2009,"14,162,291",,,,,,,0,https://www.wikiart.org/en/Search/Giorgio de Chirico Il Ritornante
Claude Monet,Nymphéas avec reflets de hautes herbes,02.05.2013,"14,150,865",,,,,,,0,https://www.wikiart.org/en/Search/Claude Monet Nymphéas avec reflets de hautes herbes
Piero Manzoni,Achrome,05.15.2013,"14,123,750",,,,,,,0,https://www.wikiart.org/en/Search/Piero Manzoni Achrome
André Derain,Barques au port de collioure,11.04.2009,"14,082,500",,,,,,,0,https://www.wikiart.org/en/Search/André Derain Barques au port de collioure
Roy Lichtenstein,Ice cream soda,11.09.2010,"14,082,500",,,,,,,0,https://www.wikiart.org/en/Search/Roy Lichtenstein Ice cream soda
Francis Bacon,Figure in movement,11.09.2010,"14,082,500",figurative,Expressionism,https://uploads6.wikiart.org/images/francis-bacon/figure-in-movement(1).jpg!Large.jpg,,,,1,https://www.wikiart.org/en/Search/Francis Bacon Figure in movement
,Abstraktes Bild,11.09.2011,"14,082,500",,,,,,,0,https://www.wikiart.org/en/Search/ Abstraktes Bild
Willem de Kooning,Untitled I,05.08.2012,"14,082,500",abstract,Abstract Expressionism,https://uploads2.wikiart.org/images/willem-de-kooning/untitled-1949.jpg!Large.jpg,,,,1,https://www.wikiart.org/en/Search/Willem de Kooning Untitled I
Paul Signac,Cassis Cap Canaille,11.06.2007,"14,041,000",,,,,,,0,https://www.wikiart.org/en/Search/Paul Signac Cassis Cap Canaille
Clyfford Still,1946,05.13.2008,"14,041,000",,,,,,,0,https://www.wikiart.org/en/Search/Clyfford Still 1946
Henri Matisse,La serpentine - Femme à la stele - L′araignee,05.10.2000,"14,030,750",,,,,,,0,https://www.wikiart.org/en/Search/Henri Matisse La serpentine - Femme à la stele - L′araignee
